E_lab	E*/MeV	247No	248No	249No	250No	251No	252No	253No	254No	255No	256No
245.881	48.0	0.000E+00	0.000E+00	0.000E+00	0.140E-10	0.110E-06	0.537E-07	0.570E-08	0.000E+00	0.000E+00	0.000E+00
247.112	49.0	0.000E+00	0.000E+00	0.000E+00	0.601E-10	0.119E-06	0.340E-07	0.233E-08	0.000E+00	0.000E+00	0.000E+00
248.342	50.0	0.000E+00	0.000E+00	0.000E+00	0.198E-09	0.120E-06	0.213E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00
249.573	51.0	0.000E+00	0.000E+00	0.000E+00	0.514E-09	0.113E-06	0.132E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00
250.804	52.0	0.000E+00	0.000E+00	0.000E+00	0.109E-08	0.101E-06	0.812E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
252.035	53.0	0.000E+00	0.000E+00	0.000E+00	0.196E-08	0.859E-07	0.496E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
253.265	54.0	0.000E+00	0.000E+00	0.000E+00	0.304E-08	0.706E-07	0.301E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
254.496	55.0	0.000E+00	0.000E+00	0.782E-14	0.419E-08	0.562E-07	0.175E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
255.727	56.0	0.000E+00	0.000E+00	0.589E-13	0.524E-08	0.435E-07	0.100E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
256.958	57.0	0.000E+00	0.000E+00	0.331E-12	0.603E-08	0.330E-07	0.541E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
258.188	58.0	0.000E+00	0.000E+00	0.145E-11	0.647E-08	0.244E-07	0.179E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
259.419	59.0	0.000E+00	0.000E+00	0.513E-11	0.656E-08	0.178E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
260.650	60.0	0.000E+00	0.000E+00	0.151E-10	0.634E-08	0.128E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
261.881	61.0	0.000E+00	0.000E+00	0.379E-10	0.586E-08	0.905E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
263.112	62.0	0.000E+00	0.000E+00	0.819E-10	0.523E-08	0.634E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
264.342	63.0	0.000E+00	0.000E+00	0.156E-09	0.452E-08	0.439E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
265.573	64.0	0.000E+00	0.240E-14	0.263E-09	0.380E-08	0.301E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
266.804	65.0	0.000E+00	0.126E-13	0.403E-09	0.312E-08	0.205E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
268.035	66.0	0.000E+00	0.528E-13	0.565E-09	0.251E-08	0.139E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
269.265	67.0	0.000E+00	0.182E-12	0.735E-09	0.198E-08	0.932E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
270.496	68.0	0.000E+00	0.523E-12	0.896E-09	0.154E-08	0.618E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
271.727	69.0	0.000E+00	0.129E-11	0.103E-08	0.117E-08	0.402E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
272.958	70.0	0.000E+00	0.277E-11	0.113E-08	0.886E-09	0.260E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
274.188	71.0	0.000E+00	0.528E-11	0.119E-08	0.661E-09	0.142E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
275.419	72.0	0.000E+00	0.906E-11	0.120E-08	0.488E-09	0.471E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
276.650	73.0	0.000E+00	0.142E-10	0.117E-08	0.357E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
277.881	74.0	0.183E-15	0.206E-10	0.111E-08	0.258E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
279.112	75.0	0.863E-15	0.279E-10	0.102E-08	0.185E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
280.342	76.0	0.340E-14	0.355E-10	0.917E-09	0.132E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
281.573	77.0	0.114E-13	0.430E-10	0.808E-09	0.933E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
282.804	78.0	0.333E-13	0.496E-10	0.698E-09	0.633E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
284.035	79.0	0.850E-13	0.549E-10	0.593E-09	0.414E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
285.265	80.0	0.193E-12	0.586E-10	0.495E-09	0.234E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
286.496	81.0	0.394E-12	0.606E-10	0.408E-09	0.894E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
287.727	82.0	0.735E-12	0.608E-10	0.332E-09	0.125E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
288.958	83.0	0.126E-11	0.594E-10	0.267E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
290.188	84.0	0.200E-11	0.567E-10	0.212E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
291.419	85.0	0.299E-11	0.529E-10	0.167E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
292.650	86.0	0.421E-11	0.484E-10	0.130E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
293.881	87.0	0.562E-11	0.436E-10	0.101E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
295.112	88.0	0.717E-11	0.385E-10	0.772E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
296.342	89.0	0.876E-11	0.336E-10	0.587E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
297.573	90.0	0.103E-10	0.289E-10	0.443E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
